Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1980,173.5344081307443,1980.1,8,80200.0,2
1980,173.5344081307443,1980.2,8,34500.0,2
1981,162.86670101933854,1981.1,6,36100.0,1
1982,155.9712513141041,1982.1,7,25000.0,5
1982,155.9712513141041,1982.2,4,84200.0,5
1982,155.9712513141041,1982.3,6,25000.0,5
1982,155.9712513141041,1982.4,4,49400.0,5
1982,155.9712513141041,1982.5,3,34800.0,5
1983,218.48103662495433,1983.1,3,25400.0,9
1983,218.48103662495433,1983.2,4,24100.0,9
1983,218.48103662495433,1983.3,3,19800.0,9
1983,218.48103662495433,1983.4,8,24900.0,9
1983,218.48103662495433,1983.5,8,34400.0,9
1983,218.48103662495433,1983.6,1,20700.0,9
1983,218.48103662495433,1983.7,4,36200.0,9
1983,218.48103662495433,1983.8,4,25600.0,9
1983,218.48103662495433,1983.9,6,47200.0,9
1984,116.62442935533163,1984.0,3,19600.0,1
1985,110.97813785468864,1985.0,0,4110.0,0
1986,280.43017824983565,1986.1,14,131000.0,2
1986,280.43017824983565,1986.2,9,40900.0,2
1987,89.81162453776984,1987.0,0,3500.0,0
1988,76.81730530049003,1988.0,0,4550.0,0
1989,172.40681777496619,1989.1,3,24400.0,1
1990,140.05767325285095,1990.0,0,7930.0,0
1991,157.560130216455,1991.0,0,4440.0,0
1992,170.47715948510623,1992.0,0,4670.0,0
1993,186.97639196370903,1993.0,0,16100.0,0
1994,69.37452851208339,1994.0,0,4090.0,0
1995,281.90802155414553,1995.1,2,26700.0,7
1995,281.90802155414553,1995.2,2,28400.0,7
1995,281.90802155414553,1995.3,1,17200.0,7
1995,281.90802155414553,1995.4,8,41800.0,7
1995,281.90802155414553,1995.5,6,22700.0,7
1995,281.90802155414553,1995.6,16,22600.0,7
1995,281.90802155414553,1995.7,5,32900.0,7
1996,123.01409153052256,1996.1,5,27700.0,6
1996,123.01409153052256,1996.2,6,22600.0,6
1996,123.01409153052256,1996.3,5,43700.0,6
1996,123.01409153052256,1996.4,3,24400.0,6
1996,123.01409153052256,1996.5,4,27300.0,6
1996,123.01409153052256,1996.6,4,32200.0,6
1997,145.3628957272838,1997.0,14,106000.0,2
1997,145.3628957272838,1997.1,10,32000.0,2
1998,207.9441842546726,1998.1,6,33700.0,1
1999,71.93420116885032,1999.1,3,19600.0,3
1999,71.93420116885032,1999.2,3,23900.0,3
1999,71.93420116885032,1999.3,3,21800.0,3
2000,205.2676384961432,2000.1,5,24100.0,1
2001,152.02743050782678,2001.0,0,3110.0,0
2002,139.99423046618188,2002.0,0,4020.0,0
2003,99.51922026330335,2003.0,0,7000.0,0
2004,117.90805191558249,2004.0,0,7930.0,0
2005,257.86354534835664,2005.1,4,23900.0,2
2005,257.86354534835664,2005.2,7,36300.0,2
2006,150.68412707789804,2006.0,11,36200.0,2
2006,150.68412707789804,2006.1,16,34900.0,2
2007,122.45149937567041,2007.0,0,4520.0,0
2008,196.38801062441325,2008.0,0,4400.0,0
2009,132.6415512115096,2009.0,0,5510.0,0
2010,135.75299772767806,2010.1,8,30900.0,1
2011,216.02829902967878,2011.1,14,26300.0,1
2012,177.8508809831857,2012.0,0,9930.0,0
2013,63.14844353844701,2013.0,0,4850.0,0
2014,218.9579805983725,2014.0,0,2540.0,0
