Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,155.28429281883547,1940.1,3,57500.0,3
1940,155.28429281883547,1940.2,1,47400.0,3
1940,155.28429281883547,1940.3,2,69600.0,3
1941,149.26226047693487,1941.0,0,26900.0,0
1942,96.44296615718864,1942.1,2,54600.0,2
1942,96.44296615718864,1942.2,1,32600.0,2
1943,177.91911023263404,1943.1,3,73800.0,2
1943,177.91911023263404,1943.2,3,73700.0,2
1944,215.729405251204,1944.0,0,12400.0,0
1945,162.03957485312515,1945.1,2,70900.0,3
1945,162.03957485312515,1945.2,1,32400.0,3
1945,162.03957485312515,1945.3,1,32200.0,3
1946,89.81863720028545,1946.0,0,13300.0,0
1947,126.80552505616724,1947.0,0,20100.0,0
1948,162.79722730594094,1948.0,0,17600.0,0
1949,137.57453188755358,1949.0,0,25500.0,0
1950,146.33894142998489,1950.1,5,132000.0,3
1950,146.33894142998489,1950.2,2,76400.0,3
1950,146.33894142998489,1950.3,3,60300.0,3
1951,150.94080722428617,1951.1,1,39500.0,1
1952,236.470217880405,1952.0,0,30500.0,0
1953,71.54004974031459,1953.0,0,27600.0,0
1954,95.5222540593591,1954.1,1,36500.0,1
1955,327.04697878986906,1955.1,7,69300.0,1
1956,163.09772143699,1956.1,3,33500.0,1
1957,75.85285419161399,1957.0,0,28200.0,0
1958,233.8793843518261,1958.1,1,33000.0,1
1959,142.83345786444434,1959.0,0,6260.0,0
1960,103.26804073789768,1960.0,0,5170.0,0
1961,105.7805003724672,1961.0,0,4540.0,0
1962,209.72882631655156,1962.0,0,7870.0,0
1963,124.40134215063419,1963.1,5,74100.0,1
1964,154.73970808789764,1964.1,7,115000.0,1
1965,107.50569992871917,1965.1,3,35500.0,1
1966,169.0452854548033,1966.0,0,22600.0,0
1967,226.34832028386478,1967.1,1,35900.0,1
1968,90.40921702496357,1968.0,0,8230.0,0
1969,232.42234707589967,1969.1,3,67200.0,2
1969,232.42234707589967,1969.2,3,39900.0,2
